hospital,emergency_cases,avg_stay,avg_cost
"Mitchell Inc",5,14.8,26511.80
"Sherman Inc",5,24.6,21024.60
"Nelson PLC",5,16.6,27682.60
"Ltd Davis",5,10.0,34433.40
"Molina Group",5,16.2,20311.60
"PLC Wright",5,19.0,31684.00
"Carter Group",5,9.2,17872.80
"Ltd Wright",5,16.6,25621.60
"Ltd Moore",5,11.0,11618.80
"PLC Lopez",5,18.2,17570.00
"Sanchez LLC",5,11.0,28058.40
"Rodriguez Ltd",5,21.0,15667.80
"PLC White",5,19.6,24029.80
"Williams Ltd",5,7.2,18593.40
"Group Johnson",5,18.6,29337.20
Jones-Rodriguez,5,15.0,31975.80
"Evans Inc",5,14.0,14603.80
"Owens PLC",5,10.0,18244.60
"Inc Hernandez",5,20.0,27283.80
"Wilson Ltd",5,5.8,28064.40
"Ltd Lee",5,18.2,38062.00
"PLC Scott",5,14.4,27407.60
"PLC Taylor",5,13.0,28869.60
"Taylor Ltd",5,17.6,19663.40
"Green Inc",5,7.6,10867.60
"Group Davis",5,14.4,27824.00
"Sons Williams and",5,15.4,20084.60
"PLC Miller",5,23.2,23688.60
"Brown LLC",5,20.0,22627.80
"Rodriguez Group",5,15.0,36391.00
"Garcia Group",5,11.8,30963.80
"Anderson Inc",5,18.6,16764.20
"Group Nelson",5,8.8,11612.20
"Inc Carter",5,16.8,35983.00
"Ramirez Group",5,9.4,26781.20
"Hall LLC",5,18.6,34949.60
"Hernandez Inc",5,15.4,14729.00
"Inc Cruz",5,12.0,18799.80
"Williams PLC",5,16.8,28705.80
"Brown Group",5,21.6,25652.00
"and Sons Thomas",5,13.6,33830.60
"Group Martin",5,17.0,31548.20
"Wilson LLC",5,11.8,38862.60
"PLC Martinez",5,9.8,22692.40
"Group Jones",5,17.0,13292.80
"Lopez PLC",5,20.4,27425.00
"Ltd Hale",5,25.0,27464.20
"and Sons Smith",5,20.2,21336.60
"Ltd Campbell",5,24.0,31054.00
"Lee Group",5,14.6,14402.40
"PLC Osborne",4,9.8,35913.00
"Lee Ltd",4,17.5,31634.00
"Ltd Stevens",4,18.0,19291.00
"Inc Robinson",4,17.3,18840.25
"Carter Inc",4,18.3,30021.75
"Moore Inc",4,19.0,21375.50
"Le PLC",4,22.0,36593.75
Green-Brown,4,6.8,37657.50
"LLC Harris",4,15.8,41091.50
"Group Baker",4,18.5,15269.00
"Ltd Hall",4,16.0,25766.25
"Clark Ltd",4,6.3,25796.25
"Rodriguez PLC",4,15.5,22257.25
"Scott Inc",4,16.3,29277.50
Hill-Anderson,4,5.8,18552.75
"PLC Ross",4,11.8,30166.75
"Cox PLC",4,19.5,24230.50
"Sons Davis and",4,20.3,23319.50
"Ltd Chavez",4,16.0,22432.50
"Moore PLC",4,22.5,29765.25
"LLC Thompson",4,18.0,15507.75
"Inc Wilson",4,15.8,18132.75
"Group Barnes",4,11.3,33512.50
"Robinson LLC",4,19.0,23453.75
"Nichols PLC",4,17.0,33420.50
"Inc Allen",4,10.8,34052.75
"Group Lewis",4,14.0,27769.50
"Martin LLC",4,18.8,29601.25
"Frederick Inc",4,8.0,36462.00
"Inc Thomas",4,19.5,17403.75
"LLC Lopez",4,17.8,29159.00
"Ltd Reyes",4,25.0,13093.50
"Inc Mckee",4,8.8,30487.50
"Ltd West",4,28.3,29286.25
Mills-Gray,4,26.5,36388.00
"Ltd Allen",4,16.5,31365.50
"Group Green",4,7.5,22070.50
"Campbell LLC",4,18.5,22861.75
"Wilson Inc",4,23.0,17767.25
"Harvey PLC",4,14.0,28056.50
"Inc Sanders",4,14.0,14188.50
"Ltd Martinez",4,21.8,40719.25
"PLC Reyes",4,7.5,6811.00
"LLC Edwards",4,22.0,18215.75
"PLC Russell",4,14.3,24006.50
"Jackson Group",4,8.5,15268.50
"Thomas LLC",4,18.8,22778.50
"Watson Ltd",4,18.5,23355.50
"Group Wood",4,28.0,17388.00
"Group Lopez",4,14.3,23343.75
"and Sons Lee",4,12.8,34439.00
"Group Thompson",4,17.0,16125.25
"Williams Inc",4,6.3,19322.50
"PLC Obrien",4,8.0,25232.00
"Robinson Group",4,14.8,18265.00
"LLC Allen",4,18.8,11743.00
"PLC Garcia",4,27.8,29447.00
"Inc Taylor",4,12.0,17240.25
"Group Jacobs",4,9.5,38268.50
"Gonzalez Sons and",4,18.3,30487.75
"Inc Harper",4,19.5,20598.50
"Hill Group",4,22.0,23374.00
"Martinez Inc",4,13.8,20562.25
"Clark Inc",4,14.5,29856.25
"Harris Inc",4,16.0,28411.75
Gonzalez-Logan,4,22.0,20718.00
"Adams LLC",4,23.0,24836.75
"Parker LLC",4,15.0,36545.00
"Lewis LLC",4,19.3,26067.50
"Group Cook",4,11.3,36211.50
"LLC Martin",4,16.5,24023.50
"Group Rodriguez",4,12.5,38639.00
"Ltd Jones",4,17.8,39488.00
Jones-Williams,4,15.8,28978.25
"Group Wilson",4,15.8,31052.75
"Smith and Sons",4,13.3,17227.25
"Martinez Group",4,10.3,33904.00
"Walker Ltd",4,9.0,15764.00
"Garcia PLC",4,11.3,37184.00
"Martin Group",4,9.8,33189.00
"Inc Vasquez",4,14.5,35981.50
"Jackson Inc",4,3.8,30854.50
"Ltd Clark",4,18.8,28700.00
"Sons Hawkins and",4,19.5,37994.00
"Gonzalez Group",4,9.3,30815.00
"Zimmerman Group",4,12.5,32191.50
"PLC Martin",4,15.8,16604.00
"Harris Group",4,18.3,34054.00
"Group Foster",4,10.0,16561.00
"Ltd Scott",4,17.8,31842.00
"Hall Group",4,10.0,29616.75
"Lee Sons and",4,10.8,22044.00
"Group Bennett",4,11.8,32412.75
"Murphy Sons and",4,19.3,25061.25
"Young Inc",4,19.5,27097.00
"Thompson Ltd",4,21.3,28632.50
"Walker PLC",4,12.5,25958.50
"Ltd Zamora",4,22.3,24029.75
"Inc Evans",4,20.5,30324.50
"Group Allen",4,17.5,29868.50
"Alvarez Ltd",4,14.0,38086.50
"PLC Silva",4,12.3,21474.50
"Ltd Cox",4,18.8,22107.25
"PLC Myers",4,13.5,37552.75
"Jackson Ltd",4,15.5,17710.00
"White Group",4,20.0,19878.50
"Wood Inc",4,11.0,26673.75
"Wallace LLC",4,17.0,31766.25
"Ltd Nelson",4,5.3,29223.75
"Lopez Group",4,14.5,27286.00
"Group Hernandez",4,17.3,34643.75
"Inc Wright",4,13.0,18647.75
"Group Gonzalez",4,20.8,9678.00
"Ltd Vargas",4,11.0,31995.25
"Gill Ltd",4,23.5,28308.50
"Allen Ltd",4,23.3,30754.75
"Henderson LLC",3,8.7,23725.33
"Russell PLC",3,7.7,27922.67
"Group Lynch",3,6.0,21893.00
"Group Lawson",3,11.7,24630.33
"Group Dixon",3,11.0,5385.00
"Hood Ltd",3,5.7,11125.33
"and Sons Bell",3,8.0,37259.00
"Inc Castillo",3,18.7,25207.00
"LLC Kirby",3,26.0,21954.33
Johnson-Jones,3,11.3,13405.67
Young-Lee,3,13.7,34442.67
"Knapp LLC",3,7.0,28296.33
"Garcia Ltd",3,18.0,21387.33
"Ltd Harris",3,8.0,22890.33
Rodriguez-Gonzalez,3,15.7,37185.00
"Sanders PLC",3,11.7,16629.33
"Sons Sanchez and",3,16.7,23724.67
"Ltd Gibson",3,16.7,27299.33
"Graham Ltd",3,9.3,34173.67
"LLC Daniels",3,20.7,29930.00
"Silva LLC",3,17.3,25003.00
"Trujillo Group",3,14.3,9650.67
"Potter Inc",3,15.3,18530.00
"Simmons Ltd",3,26.0,19156.00
"Anderson LLC",3,17.0,26116.67
"PLC Hernandez",3,20.7,10905.33
"Jackson LLC",3,22.3,17003.00
"Murray PLC",3,15.3,25655.33
"Chang Group",3,25.3,34107.00
"Jimenez Group",3,15.3,30058.33
"Little Ltd",3,21.0,33286.33
"Inc Cortez",3,4.7,20525.00
"Rice Inc",3,11.3,27523.67
"Ltd Anderson",3,19.0,32883.00
Alvarez-Smith,3,7.7,29200.67
"Allen PLC",3,14.0,31168.00
"Young LLC",3,23.0,16329.33
"Parker Sons and",3,14.7,32693.67
"Group Jordan",3,6.7,14764.33
"Russell LLC",3,16.7,4578.00
"Ltd Perez",3,22.3,15801.00
"Cunningham Ltd",3,11.0,28112.33
"Group Mcdonald",3,19.3,39020.33
"Turner Group",3,18.3,28526.67
"PLC Mccall",3,30.0,44809.33
"Group Miller",3,11.0,38479.33
"White and Sons",3,18.7,42262.33
"LLC White",3,22.7,25244.33
"PLC Bell",3,14.0,27049.00
"Lane Inc",3,13.0,18470.33
"Sandoval PLC",3,9.0,13594.00
"and Sons Murphy",3,12.3,27409.00
"Brown PLC",3,24.7,21235.67
"Nelson Ltd",3,13.3,22753.00
"Evans PLC",3,23.3,25913.33
"Inc Torres",3,12.0,47741.33
"PLC Wallace",3,8.0,13068.00
"Roberts PLC",3,14.7,21556.33
"Stewart PLC",3,17.0,15056.00
"Group White",3,13.3,29994.00
"Rivera Group",3,17.7,22545.33
"Anderson Ltd",3,19.0,22227.67
"LLC King",3,20.3,13385.00
"Jarvis Inc",3,28.0,21823.67
"LLC Ingram",3,15.0,40676.33
"Group Burns",3,24.7,35412.00
"Cook Group",3,7.3,22865.33
"Sons Ortiz and",3,6.7,27182.33
Martin-Rosario,3,6.0,34903.67
"Edwards PLC",3,9.3,24292.33
"LLC Hardy",3,16.3,43503.67
"PLC Peterson",3,11.3,20757.00
"Inc Smith",3,19.7,26471.00
"and Hawkins Sons",3,15.0,30706.33
"and Garcia Sons",3,23.0,21659.67
Williams-Lopez,3,15.0,22398.67
"PLC Wells",3,13.0,33600.00
"Lee Inc",3,23.0,7008.67
"Inc Black",3,12.0,33158.33
"Martinez Ltd",3,17.7,17595.67
"Group Zuniga",3,29.7,32778.00
Brown-Evans,3,23.7,25709.00
"Sons and Miller",3,13.3,22501.00
"PLC Bishop",3,16.0,36042.33
"Ltd Myers",3,10.0,20452.67
Gomez-Mitchell,3,21.0,27844.67
"Davis LLC",3,14.3,35119.67
"LLC Patterson",3,15.0,35211.00
"Hill PLC",3,22.0,20008.33
"Henderson PLC",3,17.3,16240.00
"Goodwin Group",3,26.0,22251.33
"Inc Moore",3,11.7,43336.67
"Inc Mcdonald",3,14.3,40681.33
"Inc Burns",3,2.3,39057.33
"PLC Valdez",3,12.7,32954.00
"Inc Martinez",3,14.0,27780.00
"and Pearson Sons",3,12.3,31612.00
"Warner Ltd",3,18.3,24842.67
"Group Morales",3,24.0,23822.67
"LLC Miller",3,11.3,5736.67
"Estrada PLC",3,16.0,13192.00
"LLC Woods",3,22.7,31782.00
"Group Duncan",3,20.0,38405.67
"and Sons Dunn",3,13.3,31420.67
"Ltd Patel",3,10.7,38450.67
"Ltd Sims",3,28.3,37563.33
"Weber PLC",3,14.7,18637.33
"Ltd Martin",3,9.0,20608.67
"PLC Allen",3,12.3,36675.00
"Harris LLC",3,22.0,34441.67
"Ltd White",3,9.3,29725.67
"Coleman Group",3,24.7,34200.33
"Group Walker",3,15.7,22227.67
"Group Gray",3,20.3,31890.33
"Ltd Turner",3,12.0,35045.00
"Ross Inc",3,21.0,18342.67
"Ltd Grant",3,11.3,25609.33
"White LLC",3,19.7,25644.67
"Group Howard",3,21.0,14717.67
"Group Campbell",3,12.3,12583.67
"Robinson Ltd",3,16.7,6603.00
"Ltd Morrison",3,8.3,16441.67
"PLC Leach",3,21.7,26976.00
"Ltd Parsons",3,18.3,17084.33
"Ltd Mason",3,18.0,6437.33
"Thomas Group",3,7.0,25472.33
"Inc Martin",3,11.7,29874.67
"LLC Davis",3,21.3,28390.00
"Allen LLC",3,11.0,13829.67
"and Sons Rogers",3,16.0,33141.00
Ramirez-Jackson,3,15.3,45209.67
"and Gonzalez Sons",3,17.0,28632.00
"Olson Group",3,15.0,19131.67
"Davidson Group",3,25.3,27217.33
Sanchez-Martinez,3,17.0,13369.00
"Peterson Ltd",3,7.0,23218.33
"Ltd Patterson",3,22.7,34164.67
"Baker PLC",3,8.3,14881.00
"Morgan LLC",3,16.3,36267.67
"Jordan and Sons",3,17.0,30690.67
"Newman Group",3,24.0,39202.00
"Giles Ltd",3,13.7,42554.00
"Atkins Inc",3,15.7,30243.67
"PLC Dixon",3,7.7,29549.33
"Olson LLC",3,7.3,8216.00
"Young Ltd",3,18.3,30156.33
Long-Lee,3,15.7,29511.33
"Spencer Ltd",3,11.7,4026.00
"PLC Thompson",3,15.3,24093.00
Williams-Jones,3,12.0,27918.67
"Phelps Group",3,9.7,24022.33
"Phillips Ltd",3,5.3,18183.33
"Murphy Group",3,18.7,32152.00
"PLC Lewis",3,25.7,15080.67
"Inc Anderson",3,19.3,43286.00
"Inc Wyatt",3,3.7,13247.33
"Snyder Ltd",3,15.0,33619.00
"Thomas Ltd",3,20.3,29165.33
"Ltd Peterson",3,17.0,24889.33
"PLC Phillips",3,13.3,9363.00
"LLC Perez",3,14.0,41742.67
Ryan-Miller,3,10.0,16927.67
"PLC Conway",3,8.0,20289.00
Johnson-Taylor,3,24.7,19436.67
"Ltd Thompson",3,26.7,38459.33
"Wright PLC",3,5.0,24094.67
"Gibson LLC",3,15.3,31444.33
"Inc Herrera",3,19.7,12475.67
"Klein Inc",3,18.0,20209.00
"Smith Sons and",3,8.7,33278.67
"Group Young",3,22.0,39019.67
"Inc Griffin",3,4.3,28220.00
"LLC Lee",3,22.0,28302.00
"PLC Brooks",3,12.3,7988.00
"Sons Wood and",3,14.0,31939.33
"and Martin Sons",3,16.0,28453.33
"Rodriguez Sons and",3,23.3,38923.67
"Anderson Group",3,14.3,19853.67
"Knight PLC",3,15.7,35237.67
"Ramos LLC",3,5.0,33970.67
"King Ltd",3,13.3,21222.00
"Inc Scott",3,16.0,39276.67
"Ltd Jackson",3,14.7,24726.33
"LLC Gardner",3,15.3,31560.67
"LLC Bennett",3,8.0,31595.67
"Walker and Sons",3,9.0,22852.67
"Perez Inc",3,10.3,9679.00
"Inc Watkins",3,16.7,24183.33
"Austin LLC",3,26.0,36690.33
Smith-Wilson,3,17.3,30061.00
"Sons and Hernandez",3,11.7,41263.67
"Day LLC",3,16.3,41632.00
Jones-Griffin,3,7.7,13287.67
"LLC Ramirez",3,4.7,35130.33
"LLC Howard",3,17.3,29255.67
"Cruz Inc",3,10.3,41117.00
"Thompson PLC",3,10.7,23070.33
"Gonzalez PLC",3,11.3,20458.33
"PLC Harper",3,21.3,36087.33
"Hernandez LLC",3,21.3,10831.00
"LLC Reyes",3,10.7,26968.67
"Mejia Group",3,24.0,29272.00
"Mitchell Ltd",3,21.3,24353.67
"Case Ltd",3,10.3,14505.67
"Group Keller",3,18.7,23271.67
"Shaw LLC",3,10.3,35605.33
"Group Wright",3,20.0,32526.33
"Armstrong PLC",3,12.0,21003.33
"Murphy LLC",3,11.3,38950.33
"Torres Group",3,14.0,5696.33
"Moore Ltd",3,7.7,36741.00
"Horton PLC",3,14.7,11160.33
"Cole LLC",3,10.7,40150.00
"Inc Freeman",3,17.0,28641.67
"Walters Inc",3,10.0,22986.00
"Taylor Inc",3,16.0,12500.67
"PLC Hill",3,11.0,23138.67
"Inc Powell",3,22.0,29446.33
"and Sons Bond",3,24.7,33533.00
"Stewart LLC",3,15.7,10193.33
"Skinner Ltd",3,16.0,31545.33
"Inc Roberts",3,21.0,35189.33
"Williams Group",3,16.3,29911.33
"Hunt Ltd",3,20.7,15238.67
"Sons and Smith",3,18.7,27095.00
"Ltd Byrd",3,21.0,35361.67
"LLC Griffin",3,17.0,33488.33
"Ltd Garcia",3,14.0,18210.00
"PLC Harris",3,16.3,37228.67
"Mitchell PLC",3,12.0,34653.00
"Gomez PLC",3,20.7,16752.67
"Morrison Inc",3,22.3,13937.67
"Gomez Inc",3,28.7,35717.67
"Inc Spencer",3,8.3,29077.00
"Decker Ltd",3,15.0,22943.00
"PLC Jackson",3,15.7,36097.67
"Group Hansen",3,27.7,29044.33
"Thomas and Sons",3,16.7,26205.00
Smith-Johnson,3,21.7,18385.67
"Lawson Ltd",3,20.3,17174.00
"Ellis Group",3,17.3,35224.00
Davis-Simmons,3,10.3,22807.67
"Taylor PLC",3,17.3,27094.00
"LLC Gibson",3,23.0,15713.33
"Jones Sons and",3,19.3,28070.67
"Wilson and Sons",3,22.3,24475.00
"Ltd Thomas",3,17.0,25998.00
"Anderson and Sons",3,18.7,14870.33
"LLC Turner",3,16.7,18577.33
"Ward PLC",3,23.7,42275.00
Brown-Adams,3,10.3,26793.33
"Inc Baker",3,19.0,35805.00
"and Mcdaniel Sons",3,7.0,22015.00
"Inc Lee",3,9.3,17788.67
"Nelson LLC",3,15.7,11628.00
"Kim Inc",2,15.5,34324.00
"Cook PLC",2,13.5,19087.50
"PLC Young",2,19.5,46739.00
"Group Armstrong",2,15.5,39540.50
"Reed LLC",2,14.5,23292.00
"Russell Ltd",2,13.5,11732.00
"LLC Lewis",2,16.5,28872.00
Gonzalez-Pacheco,2,23.0,21669.00
"and Dixon Taylor Hunter,",2,13.0,10646.00
Kelly-Watson,2,19.0,22032.00
"Harrington, and Owens Preston",2,5.0,8422.00
"Downs PLC",2,6.5,37462.50
"Lopez and Shepard Smith,",2,16.0,26505.00
"Hayes Robbins and Gallagher,",2,25.0,30563.00
"and Howell Sons",2,19.0,5879.00
"and Morrison Ho Woods,",2,12.0,5349.00
"Nelson Baldwin, Boyd and",2,3.0,38572.00
"Turner Bradford and Allison,",2,25.0,48965.00
"Goodwin Ltd",2,28.0,16128.00
Taylor-Wilson,2,17.5,31563.50
"PLC Sutton",2,21.0,23661.50
"and Sons Sanders",2,21.5,29171.50
"Johnson, and Petty Rubio",2,16.0,37862.00
"LLC Anderson",2,19.0,20171.50
"Rios Ltd",2,9.0,15276.00
"James Inc",2,28.0,6337.00
Ellison-Hayden,2,10.0,13397.00
"Bates Inc",2,25.0,27345.00
Brown-Henry,2,13.5,27166.00
"and Perez, Bennett Townsend",2,9.0,9543.00
Marshall-Smith,2,12.0,32806.50
Perez-Smith,2,20.0,31154.00
"Fuentes Knight, Sandoval and",2,27.0,32926.00
"Gutierrez Inc",2,14.0,22483.00
"Miller and Sons",2,24.5,19768.00
"Dougherty Group",2,28.0,41414.00
"Cook LLC",2,9.0,20929.00
"Watson Johnson Joseph, and",2,6.0,13014.00
"Group Evans",2,10.0,35716.50
"Lowe LLC",2,17.0,10739.50
Carlson-Stone,2,14.0,30324.00
"Group Schneider",2,21.5,15216.50
"Ltd Carroll",2,16.5,30401.50
"Diaz Inc",2,22.0,27196.00
"Roberts Inc",2,6.0,19858.00
Conner-Nelson,2,26.0,46421.00
"Peterson Group",2,22.5,33687.50
"Sullivan Henderson Lloyd, and",2,17.0,21965.00
Bailey-White,2,21.0,8223.50
Ferguson-Liu,2,5.0,46773.00
Ortiz-Martin,2,5.5,40663.00
"Schmidt Ltd",2,8.5,9023.50
"Haynes Miller, and Gray",2,4.0,36542.00
"Parks PLC",2,8.0,6665.00
Evans-Molina,2,1.0,14034.00
"and Sons Tucker",2,5.0,28978.00
Howe-Smith,2,25.0,47702.00
"Sons Martin and",2,14.5,26393.50
May-Smith,2,10.0,30627.00
"and Walker, Li Gomez",2,7.0,32541.00
"Patton and Mclaughlin, Barr",2,24.0,4980.00
Conley-Wood,2,6.0,50378.00
"Sons and Davis",2,21.0,15415.00
"Group Blake",2,6.0,14572.00
"Cole Inc",2,26.0,27034.50
"Reynolds and Sons",2,16.0,29486.00
"Martinez, Reed Watts and",2,29.0,21952.00
"PLC Mann",2,23.5,34307.50
King-Garza,2,12.0,23137.00
"LLC Fletcher",2,21.0,8195.00
Anderson-Miller,2,20.5,29710.50
Martin-Terry,2,11.0,29245.00
"Hurley Ltd",2,9.5,23734.50
"LLC Baker",2,10.0,30687.50
"and English Sanders, Wilcox",2,20.0,48414.00
"Thompson Ritter Austin, and",2,15.0,41271.00
"and Salazar, Gonzales Jones",2,4.0,32681.00
"Curtis PLC",2,24.0,36570.00
Odom-Oneal,2,20.0,48775.00
Patel-Hanna,2,15.0,40623.00
"and Jackson Mccall, Kelly",2,12.0,12593.00
"Ltd Ward",2,16.0,14886.00
"Montgomery and Howe Perez,",2,12.0,41051.00
"Ltd Phillips",2,14.5,34784.50
"LLC Castillo",2,10.5,37063.00
"Group Graham",2,18.0,28835.00
"PLC Adams",2,16.5,16121.00
"Graham Group",2,19.0,36916.00
"LLC Hayes",2,27.0,25595.00
"Gonzalez Ltd",2,23.0,36254.50
Murillo-Warner,2,12.0,5664.00
Smith-Carter,2,17.5,16623.50
"Inc Santos",2,7.0,12941.50
Cortez-Cannon,2,30.0,25098.00
"and Garza Martin Holloway,",2,25.0,18683.00
"Holland Brown, and York",2,4.0,43119.00
"and Brown Sons",2,9.0,26084.00
"Frost Inc",2,16.0,23783.00
"Inc Edwards",2,27.0,30323.50
"and Meadows, Thomas Vaughn",2,23.0,17172.00
"Vang Group",2,15.0,17591.00
"Shaw Inc",2,16.0,26923.00
"Floyd LLC",2,11.0,45089.50
"Sandoval Cook and Gutierrez,",2,14.0,20275.00
"Miller and Perez Wood,",2,10.0,37765.00
"Jackson Parks, and Hickman",2,6.0,36047.00
Perry-Hayes,2,22.0,39775.50
"Ltd Malone",2,14.5,22962.50
"Harper Ltd",2,12.0,27890.00
Greene-Garrett,2,25.0,11702.00
"Byrd Moore, and Norton",2,3.0,33762.00
"Sanchez Group",2,5.5,16588.00
"and Foley, Jones Harris",2,4.0,29500.00
"Blevins Group",2,22.0,47650.00
George-Smith,2,27.0,23139.50
"Fernandez LLC",2,24.0,16751.50
"Stewart Inc",2,12.0,17413.00
"Baker Andrade, and Johnson",2,3.0,28532.00
"Hancock Group",2,22.5,34250.50
"Group Farley",2,4.0,48103.00
White-Thompson,2,14.5,44209.50
Garcia-Davis,2,9.0,15324.50
"Mcdaniel PLC",2,10.0,34671.00
Garcia-Warren,2,17.0,15264.00
"Ltd Ortega",2,6.5,31956.50
"LLC Delgado",2,26.0,5136.00
Fernandez-Vasquez,2,13.0,19337.00
"Simpson and Sons",2,13.5,10878.00
"Webb Inc",2,13.5,25172.00
"Bell, and Rodriguez Gutierrez",2,2.0,48559.00
Long-Gonzales,2,21.0,7249.00
"PLC Todd",2,12.0,5430.00
"and Marshall Harris Marks,",2,15.0,34841.00
"PLC Kim",2,14.0,25020.50
Thompson-Dorsey,2,19.0,11490.00
Tanner-Cox,2,13.0,4933.00
Skinner-Sanford,2,21.0,10768.00
Rowe-Harrison,2,1.0,7840.00
"PLC Marquez",2,15.0,45067.00
Gould-Lyons,2,22.0,15107.00
"Boyd LLC",2,14.5,24166.00
"PLC Mendoza",2,15.5,35372.50
"and Stanley Sons",2,10.0,9614.00
Johnson-Williams,2,12.0,19924.50
"Crawford, and Bird Moore",2,19.0,34953.00
Norris-Matthews,2,7.0,25712.00
Gonzalez-Salazar,2,20.0,11741.00
Key-Nguyen,2,17.0,23615.00
"Cruz PLC",2,20.0,31417.50
Rogers-Davidson,2,2.0,26933.00
"Group Obrien",2,5.0,37424.50
"PLC Cruz",2,14.0,21974.50
Sullivan-Gibson,2,4.0,48929.00
Parsons-Martinez,2,25.0,21888.00
"Sons and Garcia",2,7.0,13093.00
"Group Hunt",2,11.0,25787.00
Santiago-Sloan,2,3.0,19218.00
"Sons and Flores",2,9.5,17715.50
"English Ltd",2,2.0,38583.00
"Patterson and Hall, Kidd",2,23.0,49096.00
Williams-Cruz,2,28.0,35618.00
"and Jones Phillips Garner,",2,21.0,43655.00
Bridges-Lynch,2,21.0,7241.00
"Ellis and Thompson Nunez,",2,30.0,12583.00
"Sons and Heath",2,9.0,40052.00
Wolf-Hernandez,2,26.0,5598.00
"Richard and Williams, Robles",2,14.0,14424.00
"Ward and Christensen, Russell",2,24.0,8308.00
Thompson-Brown,2,15.5,7659.00
"and Schmidt Schultz, Smith",2,15.0,43212.00
Anderson-Warner,2,18.0,2625.00
"and Massey May Lopez,",2,9.0,25707.00
Osborn-Park,2,22.0,39524.00
"Willis LLC",2,17.0,16956.00
"Ltd Cervantes",2,17.0,47603.00
"Inc Delgado",2,11.0,10865.00
Avery-Alvarez,2,4.0,4527.00
Moreno-Lam,2,24.0,17823.00
"Inc Salazar",2,4.0,4526.00
Rasmussen-Huynh,2,4.0,20968.00
"Sullivan and Young Gonzalez,",2,4.0,2176.00
"Group Mann",2,11.0,10518.50
"and Robertson Armstrong Pittman,",2,18.0,11702.00
Martinez-Carr,2,17.0,30694.00
"Sims and Henderson Meza,",2,15.0,9811.00
"Inc Lopez",2,9.0,30262.00
Diaz-Ballard,2,26.0,17771.00
"Inc Tate",2,20.5,28763.00
