id,delivery_satisfaction,food_quality_satisfaction,delivery_time_satisfaction,order_accuracy,delivery_satisfaction_level,food_quality_level
146,2,2,2,Yes,Medium,Medium
147,2,2,2,No,Medium,Medium
148,4,4,4,Yes,High,High
149,4,4,4,Yes,High,High
150,3,3,3,Yes,Medium,Medium
151,5,5,5,Yes,High,High
152,3,3,3,No,Medium,Medium
153,1,1,1,Yes,Low,Low
154,5,5,5,Yes,High,High
155,5,5,5,Yes,High,High
156,2,2,2,Yes,Medium,Medium
157,1,1,1,Yes,Low,Low
158,5,5,5,Yes,High,High
159,2,2,2,No,Medium,Medium
160,3,3,3,Yes,Medium,Medium
161,5,5,5,Yes,High,High
162,3,3,3,Yes,Medium,Medium
163,4,4,4,Yes,High,High
164,5,5,5,Yes,High,High
165,2,2,2,Yes,Medium,Medium
166,5,5,5,Yes,High,High
167,1,1,1,Yes,Low,Low
168,3,3,3,No,Medium,Medium
169,5,5,5,Yes,High,High
170,3,3,3,No,Medium,Medium
171,5,5,5,Yes,High,High
172,2,2,2,Yes,Medium,Medium
173,4,4,4,No,High,High
174,3,3,3,Yes,Medium,Medium
175,1,1,1,Yes,Low,Low
176,5,5,5,Yes,High,High
177,2,2,2,Yes,Medium,Medium
178,4,4,4,No,High,High
179,5,5,5,Yes,High,High
180,2,2,2,Yes,Medium,Medium
181,5,5,5,Yes,High,High
182,3,3,3,No,Medium,Medium
183,1,1,1,Yes,Low,Low
184,5,5,5,Yes,High,High
185,3,3,3,Yes,Medium,Medium
186,2,2,2,Yes,Medium,Medium
187,2,2,2,No,Medium,Medium
188,4,4,4,Yes,High,High
189,4,4,4,Yes,High,High
190,3,3,3,Yes,Medium,Medium
191,5,5,5,Yes,High,High
192,3,3,3,No,Medium,Medium
193,1,1,1,Yes,Low,Low
194,5,5,5,Yes,High,High
195,5,5,5,Yes,High,High
196,2,2,2,Yes,Medium,Medium
197,1,1,1,Yes,Low,Low
198,5,5,5,Yes,High,High
199,2,2,2,No,Medium,Medium
200,3,3,3,Yes,Medium,Medium
201,5,5,5,Yes,High,High
202,3,3,3,Yes,Medium,Medium
203,4,4,4,Yes,High,High
204,5,5,5,Yes,High,High
205,2,2,2,Yes,Medium,Medium
206,5,5,5,Yes,High,High
207,1,1,1,Yes,Low,Low
208,3,3,3,No,Medium,Medium
209,5,5,5,Yes,High,High
210,3,3,3,No,Medium,Medium
211,5,5,5,Yes,High,High
212,2,2,2,Yes,Medium,Medium
213,4,4,4,No,High,High
214,3,3,3,Yes,Medium,Medium
215,1,1,1,Yes,Low,Low
216,5,5,5,Yes,High,High
217,2,2,2,Yes,Medium,Medium
218,4,4,4,No,High,High
219,5,5,5,Yes,High,High
220,2,2,2,Yes,Medium,Medium
221,5,5,5,Yes,High,High
222,3,3,3,No,Medium,Medium
223,1,1,1,Yes,Low,Low
224,5,5,5,Yes,High,High
225,3,3,3,Yes,Medium,Medium
226,2,2,2,Yes,Medium,Medium
227,2,2,2,No,Medium,Medium
228,4,4,4,Yes,High,High
229,4,4,4,Yes,High,High
230,3,3,3,Yes,Medium,Medium
231,5,5,5,Yes,High,High
232,3,3,3,No,Medium,Medium
233,1,1,1,Yes,Low,Low
234,5,5,5,Yes,High,High
235,5,5,5,Yes,High,High
236,2,2,2,Yes,Medium,Medium
237,1,1,1,Yes,Low,Low
238,5,5,5,Yes,High,High
239,2,2,2,No,Medium,Medium
240,3,3,3,Yes,Medium,Medium
241,5,5,5,Yes,High,High
242,3,3,3,Yes,Medium,Medium
243,4,4,4,Yes,High,High
244,5,5,5,Yes,High,High
245,2,2,2,Yes,Medium,Medium
246,5,5,5,Yes,High,High
247,1,1,1,Yes,Low,Low
248,3,3,3,No,Medium,Medium
249,5,5,5,Yes,High,High
250,3,3,3,No,Medium,Medium
251,5,5,5,Yes,High,High
252,2,2,2,Yes,Medium,Medium
253,4,4,4,No,High,High
254,3,3,3,Yes,Medium,Medium
255,1,1,1,Yes,Low,Low
256,5,5,5,Yes,High,High
257,2,2,2,Yes,Medium,Medium
258,4,4,4,No,High,High
259,5,5,5,Yes,High,High
260,2,2,2,Yes,Medium,Medium
261,5,5,5,Yes,High,High
262,3,3,3,No,Medium,Medium
263,1,1,1,Yes,Low,Low
264,5,5,5,Yes,High,High
265,3,3,3,Yes,Medium,Medium
266,2,2,2,Yes,Medium,Medium
267,2,2,2,No,Medium,Medium
268,4,4,4,Yes,High,High
269,4,4,4,Yes,High,High
270,3,3,3,Yes,Medium,Medium
271,5,5,5,Yes,High,High
272,3,3,3,No,Medium,Medium
273,1,1,1,Yes,Low,Low
274,5,5,5,Yes,High,High
275,5,5,5,Yes,High,High
276,2,2,2,Yes,Medium,Medium
277,1,1,1,Yes,Low,Low
278,5,5,5,Yes,High,High
279,2,2,2,No,Medium,Medium
280,3,3,3,Yes,Medium,Medium
281,5,5,5,Yes,High,High
282,3,3,3,Yes,Medium,Medium
283,4,4,4,Yes,High,High
284,5,5,5,Yes,High,High
285,2,2,2,Yes,Medium,Medium
286,5,5,5,Yes,High,High
287,1,1,1,Yes,Low,Low
288,3,3,3,No,Medium,Medium
289,5,5,5,Yes,High,High
290,3,3,3,No,Medium,Medium
291,5,5,5,Yes,High,High
292,2,2,2,Yes,Medium,Medium
293,4,4,4,No,High,High
294,3,3,3,Yes,Medium,Medium
295,1,1,1,Yes,Low,Low
296,5,5,5,Yes,High,High
297,2,2,2,Yes,Medium,Medium
298,4,4,4,No,High,High
299,5,5,5,Yes,High,High
300,2,2,2,Yes,Medium,Medium
301,5,5,5,Yes,High,High
302,3,3,3,No,Medium,Medium
303,1,1,1,Yes,Low,Low
304,5,5,5,Yes,High,High
305,3,3,3,Yes,Medium,Medium
306,2,2,2,Yes,Medium,Medium
307,2,2,2,No,Medium,Medium
308,4,4,4,Yes,High,High
309,4,4,4,Yes,High,High
310,3,3,3,Yes,Medium,Medium
311,5,5,5,Yes,High,High
312,3,3,3,No,Medium,Medium
313,1,1,1,Yes,Low,Low
314,5,5,5,Yes,High,High
315,5,5,5,Yes,High,High
316,2,2,2,Yes,Medium,Medium
317,1,1,1,Yes,Low,Low
318,5,5,5,Yes,High,High
319,2,2,2,No,Medium,Medium
320,3,3,3,Yes,Medium,Medium
344,5,5,5,Yes,High,High
345,3,3,3,Yes,Medium,Medium
346,4,2,2,Yes,High,Medium
347,5,2,2,No,High,Medium
348,2,4,4,Yes,Medium,High
349,5,4,4,Yes,High,High
350,1,3,3,Yes,Low,Medium
351,3,5,5,Yes,Medium,High
352,5,3,3,No,High,Medium
353,3,1,1,Yes,Medium,Low
354,5,5,5,Yes,High,High
355,2,5,5,Yes,Medium,High
356,4,2,2,Yes,High,Medium
357,3,1,1,Yes,Medium,Low
358,1,5,5,Yes,Low,High
359,5,2,2,No,High,Medium
360,2,3,3,Yes,Medium,Medium
362,5,5,5,Yes,High,High
363,2,3,3,Yes,Medium,Medium
364,5,4,4,Yes,High,High
365,3,5,5,Yes,Medium,High
366,1,2,2,Yes,Low,Medium
367,5,5,5,Yes,High,High
368,3,1,1,No,Medium,Low
369,2,3,3,Yes,Medium,Medium
370,2,5,5,No,Medium,High
371,4,3,3,Yes,High,Medium
372,4,5,5,Yes,High,High
373,3,2,2,No,Medium,Medium
374,5,4,4,Yes,High,High
375,3,3,3,Yes,Medium,Medium
376,1,1,1,Yes,Low,Low
377,5,5,5,Yes,High,High
378,5,2,2,No,High,Medium
379,2,4,4,Yes,Medium,High
380,1,5,5,Yes,Low,High
381,5,2,2,Yes,High,Medium
382,2,5,5,No,Medium,High
383,3,3,3,Yes,Medium,Medium
384,5,1,1,Yes,High,Low
385,3,5,5,Yes,Medium,High
386,4,3,3,Yes,High,Medium
387,5,2,2,No,High,Medium
388,2,2,2,Yes,Medium,Medium
389,5,4,4,Yes,High,High
390,1,4,4,Yes,Low,High
391,3,3,3,Yes,Medium,Medium
392,5,5,5,No,High,High
393,3,3,3,Yes,Medium,Medium
394,5,1,1,Yes,High,Low
395,2,5,5,Yes,Medium,High
396,4,5,5,Yes,High,High
397,3,2,2,Yes,Medium,Medium
398,1,1,1,Yes,Low,Low
399,5,5,5,No,High,High
400,2,2,2,Yes,Medium,Medium
401,4,3,3,Yes,High,Medium
402,5,5,5,Yes,High,High
403,2,3,3,Yes,Medium,Medium
404,5,4,4,Yes,High,High
405,3,5,5,Yes,Medium,High
406,1,2,2,Yes,Low,Medium
407,5,5,5,Yes,High,High
408,3,1,1,No,Medium,Low
409,2,3,3,Yes,Medium,Medium
410,2,5,5,No,Medium,High
411,4,3,3,Yes,High,Medium
412,4,5,5,Yes,High,High
413,3,2,2,No,Medium,Medium
414,5,4,4,Yes,High,High
415,3,3,3,Yes,Medium,Medium
416,1,1,1,Yes,Low,Low
417,5,5,5,Yes,High,High
418,5,2,2,No,High,Medium
419,2,4,4,Yes,Medium,High
420,1,5,5,Yes,Low,High
421,5,2,2,Yes,High,Medium
422,2,5,5,No,Medium,High
423,3,3,3,Yes,Medium,Medium
424,5,1,1,Yes,High,Low
425,3,5,5,Yes,Medium,High
426,4,3,3,Yes,High,Medium
427,5,2,2,No,High,Medium
428,2,2,2,Yes,Medium,Medium
429,5,4,4,Yes,High,High
430,1,4,4,Yes,Low,High
431,3,3,3,Yes,Medium,Medium
432,5,5,5,No,High,High
433,3,3,3,Yes,Medium,Medium
434,5,1,1,Yes,High,Low
435,2,5,5,Yes,Medium,High
436,4,5,5,Yes,High,High
437,3,2,2,Yes,Medium,Medium
438,1,1,1,Yes,Low,Low
439,5,5,5,No,High,High
440,2,2,2,Yes,Medium,Medium
441,4,3,3,Yes,High,Medium
442,5,5,5,Yes,High,High
443,2,3,3,Yes,Medium,Medium
444,5,4,4,Yes,High,High
445,3,5,5,Yes,Medium,High
446,1,2,2,Yes,Low,Medium
447,5,5,5,Yes,High,High
448,3,1,1,No,Medium,Low
449,2,3,3,Yes,Medium,Medium
450,2,5,5,No,Medium,High
451,4,3,3,Yes,High,Medium
452,4,5,5,Yes,High,High
453,3,2,2,No,Medium,Medium
454,5,4,4,Yes,High,High
455,3,3,3,Yes,Medium,Medium
456,1,1,1,Yes,Low,Low
457,5,5,5,Yes,High,High
458,5,2,2,No,High,Medium
459,2,4,4,Yes,Medium,High
460,1,5,5,Yes,Low,High
461,5,2,2,Yes,High,Medium
462,2,5,5,No,Medium,High
463,3,3,3,Yes,Medium,Medium
464,5,1,1,Yes,High,Low
465,3,5,5,Yes,Medium,High
466,4,3,3,Yes,High,Medium
467,5,2,2,No,High,Medium
468,2,2,2,Yes,Medium,Medium
469,5,4,4,Yes,High,High
470,1,4,4,Yes,Low,High
471,3,3,3,Yes,Medium,Medium
472,5,5,5,No,High,High
473,3,3,3,Yes,Medium,Medium
474,5,1,1,Yes,High,Low
475,2,5,5,Yes,Medium,High
476,4,5,5,Yes,High,High
477,3,2,2,Yes,Medium,Medium
478,1,1,1,Yes,Low,Low
479,5,5,5,No,High,High
480,2,2,2,Yes,Medium,Medium
481,4,3,3,Yes,High,Medium
482,5,5,5,Yes,High,High
483,2,3,3,Yes,Medium,Medium
484,5,4,4,Yes,High,High
485,3,5,5,Yes,Medium,High
486,1,2,2,Yes,Low,Medium
487,5,5,5,Yes,High,High
488,3,1,1,No,Medium,Low
489,2,3,3,Yes,Medium,Medium
490,2,5,5,No,Medium,High
491,4,3,3,Yes,High,Medium
492,4,5,5,Yes,High,High
493,3,2,2,No,Medium,Medium
494,5,4,4,Yes,High,High
495,3,3,3,Yes,Medium,Medium
496,1,1,1,Yes,Low,Low
497,5,5,5,Yes,High,High
498,5,2,2,No,High,Medium
499,2,4,4,Yes,Medium,High
500,1,5,5,Yes,Low,High
501,5,2,2,Yes,High,Medium
502,2,5,5,No,Medium,High
503,3,3,3,Yes,Medium,Medium
505,5,5,5,Yes,High,High
506,3,3,3,Yes,Medium,Medium
507,4,2,2,No,High,Medium
508,5,2,2,Yes,High,Medium
509,2,4,4,Yes,Medium,High
510,5,4,4,Yes,High,High
511,1,3,3,Yes,Low,Medium
512,3,5,5,No,Medium,High
513,5,3,3,Yes,High,Medium
514,3,1,1,Yes,Medium,Low
515,5,5,5,Yes,High,High
516,2,5,5,Yes,Medium,High
517,4,2,2,Yes,High,Medium
518,3,1,1,Yes,Medium,Low
519,1,5,5,No,Low,High
520,5,2,2,Yes,High,Medium
521,2,3,3,Yes,Medium,Medium
536,3,5,4,Yes,Medium,High
537,1,3,5,Yes,Low,Medium
538,5,4,2,No,High,High
539,5,5,5,Yes,High,High
540,2,2,1,Yes,Medium,Medium
541,1,5,3,Yes,Low,High
542,5,1,5,No,High,Low
543,2,3,3,Yes,Medium,Medium
544,3,5,5,Yes,Medium,High
545,5,3,2,Yes,High,Medium
546,3,5,4,Yes,Medium,High
547,4,2,3,No,High,Medium
548,5,4,1,Yes,High,High
549,2,3,5,Yes,Medium,Medium
550,5,1,2,Yes,High,Low
551,1,5,4,Yes,Low,High
552,3,2,5,No,Medium,Medium
553,5,4,2,Yes,High,High
554,3,5,5,Yes,Medium,High
555,5,2,3,Yes,High,Medium
556,2,5,1,Yes,Medium,High
557,4,3,5,Yes,High,Medium
558,3,1,3,Yes,Medium,Low
559,1,5,2,No,Low,High
560,5,3,2,Yes,High,Medium
561,2,2,4,Yes,Medium,Medium
562,4,2,4,Yes,High,Medium
563,5,4,3,Yes,High,High
564,2,4,5,Yes,Medium,High
565,5,3,3,Yes,High,Medium
566,3,5,1,Yes,Medium,High
567,1,3,5,Yes,Low,Medium
568,5,1,5,No,High,Low
569,3,5,2,Yes,Medium,High
570,2,5,1,No,Medium,High
571,2,2,5,Yes,Medium,Medium
572,4,1,2,Yes,High,Low
573,4,5,3,No,High,High
574,3,2,5,Yes,Medium,Medium
575,5,3,3,Yes,High,Medium
576,3,5,4,Yes,Medium,High
577,1,3,5,Yes,Low,Medium
578,5,4,2,No,High,High
579,5,5,5,Yes,High,High
580,2,2,1,Yes,Medium,Medium
581,1,5,3,Yes,Low,High
582,5,1,5,No,High,Low
583,2,3,3,Yes,Medium,Medium
584,3,5,5,Yes,Medium,High
585,5,3,2,Yes,High,Medium
586,3,5,4,Yes,Medium,High
587,4,2,3,No,High,Medium
588,5,4,1,Yes,High,High
589,2,3,5,Yes,Medium,Medium
590,5,1,2,Yes,High,Low
591,1,5,4,Yes,Low,High
592,3,2,5,No,Medium,Medium
593,5,4,2,Yes,High,High
594,3,5,5,Yes,Medium,High
595,5,2,3,Yes,High,Medium
596,2,5,1,Yes,Medium,High
597,4,3,5,Yes,High,Medium
598,3,1,3,Yes,Medium,Low
599,1,5,2,No,Low,High
600,5,3,2,Yes,High,Medium
601,2,2,4,Yes,Medium,Medium
602,4,2,4,Yes,High,Medium
603,5,4,3,Yes,High,High
604,2,4,5,Yes,Medium,High
605,5,3,3,Yes,High,Medium
606,3,5,1,Yes,Medium,High
607,1,3,5,Yes,Low,Medium
608,5,1,5,No,High,Low
609,3,5,2,Yes,Medium,High
610,2,5,1,No,Medium,High
611,2,2,5,Yes,Medium,Medium
612,4,1,2,Yes,High,Low
613,4,5,3,No,High,High
614,3,2,5,Yes,Medium,Medium
615,5,3,3,Yes,High,Medium
616,3,5,4,Yes,Medium,High
617,1,3,5,Yes,Low,Medium
618,5,4,2,No,High,High
619,5,5,5,Yes,High,High
620,2,2,1,Yes,Medium,Medium
621,1,5,3,Yes,Low,High
622,5,1,5,No,High,Low
623,2,3,3,Yes,Medium,Medium
624,3,5,5,Yes,Medium,High
625,5,3,2,Yes,High,Medium
626,3,5,4,Yes,Medium,High
627,4,2,3,No,High,Medium
628,5,4,1,Yes,High,High
629,2,3,5,Yes,Medium,Medium
630,5,1,2,Yes,High,Low
631,1,5,4,Yes,Low,High
632,3,2,5,No,Medium,Medium
633,5,4,2,Yes,High,High
634,3,5,5,Yes,Medium,High
635,5,2,3,Yes,High,Medium
636,2,5,1,Yes,Medium,High
637,4,3,5,Yes,High,Medium
638,3,1,3,Yes,Medium,Low
639,1,5,2,No,Low,High
640,5,3,2,Yes,High,Medium
641,2,2,4,Yes,Medium,Medium
642,4,2,4,Yes,High,Medium
643,5,4,3,Yes,High,High
644,2,4,5,Yes,Medium,High
645,5,3,3,Yes,High,Medium
646,3,5,1,Yes,Medium,High
647,1,3,5,Yes,Low,Medium
648,5,1,5,No,High,Low
649,3,5,2,Yes,Medium,High
650,2,5,1,No,Medium,High
651,2,2,5,Yes,Medium,Medium
652,4,1,2,Yes,High,Low
653,4,5,3,No,High,High
654,3,2,5,Yes,Medium,Medium
655,5,3,3,Yes,High,Medium
656,3,5,4,Yes,Medium,High
657,1,3,5,Yes,Low,Medium
658,5,4,2,No,High,High
659,5,5,5,Yes,High,High
660,2,2,1,Yes,Medium,Medium
661,1,5,3,Yes,Low,High
662,5,1,5,No,High,Low
663,2,3,3,Yes,Medium,Medium
664,3,5,5,Yes,Medium,High
666,5,5,4,Yes,High,High
667,3,2,3,No,Medium,Medium
668,4,4,1,Yes,High,High
669,5,3,5,Yes,High,Medium
670,2,1,2,Yes,Medium,Low
671,5,5,4,Yes,High,High
672,1,2,5,No,Low,Medium
673,3,4,2,Yes,Medium,High
674,5,5,5,Yes,High,High
675,3,2,3,Yes,Medium,Medium
676,5,5,1,Yes,High,High
677,2,3,5,Yes,Medium,Medium
678,4,1,3,Yes,High,Low
679,3,5,2,No,Medium,High
680,1,3,2,Yes,Low,Medium
681,5,2,4,Yes,High,Medium
682,2,2,4,Yes,Medium,Medium
683,4,4,3,Yes,High,High
684,5,4,5,Yes,High,High
685,2,3,3,Yes,Medium,Medium
686,5,5,1,Yes,High,High
687,3,3,5,Yes,Medium,Medium
688,1,1,5,No,Low,Low
689,5,5,2,Yes,High,High
690,3,5,1,No,Medium,High
691,2,2,5,Yes,Medium,Medium
692,2,1,2,Yes,Medium,Low
693,4,5,3,No,High,High
700,5,3,4,Yes,High,Medium
701,3,4,3,Yes,Medium,High
702,4,5,2,No,High,High
703,5,3,4,Yes,High,Medium
704,2,5,1,Yes,Medium,High
705,5,2,5,Yes,High,Medium
706,1,4,3,Yes,Low,High
707,3,3,2,No,Medium,Medium
708,5,1,3,Yes,High,Low
709,3,5,3,Yes,Medium,High
710,5,3,4,Yes,High,Medium
711,2,2,5,Yes,Medium,Medium
712,4,5,3,No,High,High
713,3,4,2,Yes,Medium,High
714,1,5,1,Yes,Low,High
715,5,4,5,Yes,High,High
716,2,2,4,Yes,Medium,Medium
717,4,5,4,Yes,High,High
718,5,1,5,Yes,High,Low
719,2,4,4,No,Medium,High
720,5,5,1,Yes,High,High
721,3,3,3,Yes,Medium,Medium
722,1,5,5,Yes,Low,High
723,5,4,4,Yes,High,High
724,3,3,2,Yes,Medium,Medium
725,2,3,4,Yes,Medium,Medium
726,2,2,3,Yes,Medium,Medium
727,4,5,4,Yes,High,High
728,4,1,2,No,High,Low
729,3,4,5,Yes,Medium,High
730,5,5,4,No,High,High
731,3,3,4,Yes,Medium,Medium
732,1,2,5,Yes,Low,Medium
733,5,5,1,No,High,High
734,5,1,2,Yes,High,Low
735,2,3,3,Yes,Medium,Medium
736,1,5,4,Yes,Low,High
737,5,4,3,Yes,High,High
738,2,2,4,No,Medium,Medium
739,3,3,2,Yes,Medium,Medium
740,5,5,5,Yes,High,High
741,3,3,3,Yes,Medium,Medium
742,4,4,4,No,High,High
743,5,5,5,Yes,High,High
744,2,2,2,Yes,Medium,Medium
745,5,5,5,Yes,High,High
746,1,1,1,Yes,Low,Low
747,3,3,3,No,Medium,Medium
748,5,5,5,Yes,High,High
749,3,3,3,Yes,Medium,Medium
750,5,5,5,Yes,High,High
751,2,2,2,Yes,Medium,Medium
752,4,4,4,No,High,High
753,3,3,3,Yes,Medium,Medium
754,1,1,1,Yes,Low,Low
755,5,5,5,Yes,High,High
756,2,2,2,Yes,Medium,Medium
757,4,4,4,Yes,High,High
758,5,5,5,Yes,High,High
759,2,2,2,No,Medium,Medium
760,5,5,5,Yes,High,High
761,3,3,3,Yes,Medium,Medium
762,1,1,1,Yes,Low,Low
763,5,5,5,Yes,High,High
764,3,3,3,Yes,Medium,Medium
765,2,2,2,Yes,Medium,Medium
766,2,2,2,Yes,Medium,Medium
767,4,4,4,Yes,High,High
768,4,4,4,No,High,High
769,3,3,3,Yes,Medium,Medium
770,5,5,5,No,High,High
771,3,3,3,Yes,Medium,Medium
772,1,1,1,Yes,Low,Low
773,5,5,5,No,High,High
774,5,5,5,Yes,High,High
775,2,2,2,Yes,Medium,Medium
776,1,1,1,Yes,Low,Low
777,5,5,5,Yes,High,High
778,2,2,2,No,Medium,Medium
779,3,3,3,Yes,Medium,Medium
780,5,5,5,Yes,High,High
781,3,3,3,Yes,Medium,Medium
782,4,4,4,No,High,High
783,5,5,5,Yes,High,High
784,2,2,2,Yes,Medium,Medium
785,5,5,5,Yes,High,High
786,1,1,1,Yes,Low,Low
787,3,3,3,No,Medium,Medium
788,5,5,5,Yes,High,High
789,3,3,3,Yes,Medium,Medium
790,5,5,5,Yes,High,High
791,2,2,2,Yes,Medium,Medium
792,4,4,4,No,High,High
793,3,3,3,Yes,Medium,Medium
794,1,1,1,Yes,Low,Low
795,5,5,5,Yes,High,High
796,2,2,2,Yes,Medium,Medium
797,4,4,4,Yes,High,High
798,5,5,5,Yes,High,High
799,2,2,2,No,Medium,Medium
800,5,5,5,Yes,High,High
801,3,3,3,Yes,Medium,Medium
802,1,1,1,Yes,Low,Low
803,5,5,5,Yes,High,High
804,3,3,3,Yes,Medium,Medium
805,2,2,2,Yes,Medium,Medium
806,2,2,2,Yes,Medium,Medium
807,4,4,4,Yes,High,High
808,4,4,4,No,High,High
809,3,3,3,Yes,Medium,Medium
810,5,5,5,No,High,High
811,3,3,3,Yes,Medium,Medium
812,1,1,1,Yes,Low,Low
813,5,5,5,No,High,High
814,5,5,5,Yes,High,High
815,2,2,2,Yes,Medium,Medium
816,1,1,1,Yes,Low,Low
817,5,5,5,Yes,High,High
818,2,2,2,No,Medium,Medium
819,3,3,3,Yes,Medium,Medium
820,5,5,5,Yes,High,High
821,3,3,3,Yes,Medium,Medium
822,4,4,4,No,High,High
823,5,5,5,Yes,High,High
824,2,2,2,Yes,Medium,Medium
825,5,5,5,Yes,High,High
826,1,1,1,Yes,Low,Low
827,3,3,3,No,Medium,Medium
828,5,5,5,Yes,High,High
829,3,3,3,Yes,Medium,Medium
830,5,5,5,Yes,High,High
831,2,2,2,Yes,Medium,Medium
832,4,4,4,No,High,High
833,3,3,3,Yes,Medium,Medium
834,1,1,1,Yes,Low,Low
835,5,5,5,Yes,High,High
836,2,2,2,Yes,Medium,Medium
837,4,4,4,Yes,High,High
